0,1,2,3,4
NCT04488419,Inclusion,age 55 to 85 years,<VL Label=Age Source=DK>age</VL> <VML Logic=greater_equal Unit=years>55</VML> - <VML Logic=lower_equal Unit=years>85</VML>,"[['Age', '>=', 55.0, 'years'], ['Age', '<=', 85.0, 'years']]"
NCT04488419,Inclusion,"mild-to-moderate ad dementia subjects, mmse 14-24, cdr 1 or 2 at screening","mild-to-moderate ad dementia subjects, <VL Label=MMSE Source=DK>mmse</VL> <VML Logic=greater_equal Unit=>14</VML> - <VML Logic=lower_equal Unit=>24</VML> , cdr <VML Logic=equal Unit=>1</VML> or <VML Logic=equal Unit=>2</VML> at screening","[['MMSE', '>=', 14.0, ''], ['MMSE', '<=', 24.0, ''], ['MMSE', '=', 1.0, ''], ['MMSE', '=', 2.0, '']]"
NCT04488419,Inclusion,"subjects are on a stable, approved dose of an achei (except for donepezil at 23","subjects are on a stable, <VL Label=approved dose of an achei Source=ngram>approved dose of an achei</VL> ( except for donepezil at <VML Logic=equal Unit=>23</VML> ","[['approved dose of an achei', '=', '23', '']]"
NCT04488419,Inclusion,mg po) for at least 3 months before screening or,<VL Label=mg po Source=ngram>mg po</VL> ) for <VML Logic=greater_equal Unit=months>3</VML> before screening or,"[['mg po', '>=', '3', 'months']]"
NCT04488419,Inclusion,subjects who received an achei in the past and discontinued 4 weeks prior to,<VL Label=subjects who received an achei in the past and discontinued Source=ngram>subjects who received an achei in the past and discontinued</VL> <VML Logic=equal Unit=weeks>4</VML> prior to,"[['subjects who received an achei in the past and discontinued', '=', '4', 'weeks']]"
NCT04488419,Exclusion,history within 2 years of screening or current diagnosis of psychosis,<VL Label=history Source=ngram>history</VL> <VML Logic=lower Unit=years>2</VML> of screening or current diagnosis of psychosis,"[['history', '<', '2', 'years']]"
NCT04488419,Exclusion,myocardial infarction or unstable angina within the last 6 months,<VL Label=Myocardial infarction Source=DK>myocardial infarction</VL> or unstable angina <VML Logic=lower Unit=last months>6</VML>,"[['Myocardial infarction', '<', 6.0, 'last months']]"
NCT04488419,Exclusion,renal insufficiency (serum creatinine > 2.0 mg/dl),renal insufficiency ( <VL Label=Creatinine Source=DK>serum creatinine</VL> <VML Logic=greater Unit=mg/dl>2.0</VML> ) ,"[['Creatinine', '>', 2.0, 'mg/dl']]"
NCT04488419,Exclusion,hepatic impairment with alanine aminotransferase or aspartate aminotransferase > 2,hepatic impairment with alanine aminotransferase or <VL Label=AST Source=DK>aspartate aminotransferase</VL> <VML Logic=greater Unit=>2</VML> ,"[['AST', '>', 2.0, 'u/l']]"
NCT04488419,Exclusion,donepezil at 23 mg po,<VL Label=donepezil Source=ngram>donepezil</VL> at <VML Logic=equal Unit=mg>23</VML> po,"[['donepezil', '=', '23', 'mg']]"
